iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
SYR,Syrian Arab Republic,889493803.10,249288000.00,1138781803.10,encours,
TCD,Chad,103082111.80,17848933.83,120931045.63,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/tchad.html
TGO,Togo,103918250.60,124848281.20,228766531.80,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/togo.html
THA,Thailand,1630401539.00,106281874.90,1736683413.90,encours,
TJK,Tajikistan,39362499.98,292429127.50,331791627.48,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/tadjikistan.html
TKM,Turkmenistan,2794881.64,673389213.00,676184094.64,encours,
TLS,Timor-Leste,22050479.85,0.00,22050479.85,encours,
TTO,Trinidad and Tobago,0.00,121524593.00,121524593.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/trinite-et-tobago.html
TUN,Tunisia,3796373207.00,28056658.28,3824429865.28,encours,
TUR,Türkiye,4003783543.00,1408778275.00,5412561818.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/turquie.html
TZA,Tanzania,1539618090.00,365241800.90,1904859890.90,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/tanzanie.html
UGA,Uganda,726339969.30,527112066.20,1253452035.50,encours,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/ouganda.html
UKR,Ukraine,8413381927.00,4143856312.00,12557238239.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/ukraine.html
URY,Uruguay,28769364.90,88705.59,28858070.49,encours,
UZB,Uzbekistan,4259672099.00,1427717274.00,5687389373.00,encours,
VCT,Saint Vincent and the Grenadines,175458.16,1290000.00,1465458.16,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/saint-vincent-et-les-grenadines.html
VEN,Republica Bolivariana de Venezuela,67170535.56,8860144067.00,8927314602.56,encours,
VNM,Viet Nam,12471554298.00,669304425.00,13140858723.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/vietnam.html
VUT,Vanuatu,36697696.74,0.00,36697696.74,encours,
WSM,Samoa,15777297.49,0.00,15777297.49,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/samoa.html
XKX,Kosovo,11663050.00,0.00,11663050.00,encours,
YEM,Republic of Yemen,432395320.90,1281613622.00,1714008942.90,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/yemen.html
ZAF,South Africa,2930104951.00,138939077.80,3069044028.80,encours,
ZMB,Zambia,191080522.80,1581573289.00,1772653811.80,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/pays-accords-signes/sommaire-pays-debiteurs/par%20pays-debiteurs/zambie.html
ZWE,Zimbabwe,1092432716.00,787822421.90,1880255137.90,encours,
